Tim Welke,4125,809,4934
Dale Scott,3917,698,4615
Fieldin Culbreth,4863,756,5619
Ted Barrett,4259,779,5038
Dana DeMuth,4438,702,5140
Mike Winters,4277,719,4996
Jerry Layne,4073,701,4774
Jerry Meals,4574,709,5283
Jim Joyce,4496,763,5259
Joe West,4351,764,5115
Tom Hallion,4506,752,5258
Gary Cederstrom,4611,742,5353
Brian Gorman,4232,778,5010
Greg Gibson,4052,663,4715
Mark Wegner,4514,748,5262
Hunter Wendelstedt,1580,269,1849
Manny Gonzalez,3880,599,4479
Gerry Davis,4597,796,5393
Doug Eddings,3923,633,4556
Marty Foster,4370,779,5149
Eric Cooper,4513,727,5240
Bill Welke,3809,657,4466
Paul Schrieber,4657,723,5380
Ron Kulpa,4218,677,4895
Bob Davidson,4587,821,5408
Andy Fletcher,3878,684,4562
Mike DiMuro,2355,345,2700
Paul Emmel,4592,680,5272
Jim Reynolds,4661,799,5460
Dan Iassogna,4701,874,5575
Phil Cuzzi,4373,647,5020
Marvin Hudson,4343,700,5043
Rob Drake,4604,751,5355
Chris Guccione,3853,609,4462
Kerwin Danley,3431,600,4031
Jim Wolf,4311,703,5014
Clint Fagan,486,77,563
Ed Hickox,3955,660,4615
James Hoye,4649,791,5440
Mike Estabrook,3633,569,4202
Chris Conroy,4113,655,4768
CB Bucknor,4222,681,4903
Brian Knight,3804,598,4402
Lance Barksdale,4355,660,5015
David Rackley,1081,166,1247
Tim Timmons,4659,782,5441
Mike Muchlinski,3771,666,4437
Cory Blaser,3196,510,3706
Mark Ripperger,406,58,464
John Tumpane,384,67,451
Todd Tichenor,4342,694,5036
Lance Barrett,3012,551,3563
Alan Porter,4598,688,5286
Jordan Baker,2588,430,3018
Bill Miller,4168,783,4951
Jeff Kellogg,4456,748,5204
Larry Vanover,4319,803,5122
Jeff Nelson,4370,692,5062
Dan Bellino,4055,657,4712
Angel Hernandez,4250,821,5071
Vic Carapazza,4319,808,5127
Laz Diaz,4223,802,5025
Brian O'Nora,4534,808,5342
Toby Basner,423,64,487
Paul Nauert,4410,766,5176
Mark Carlson,4474,715,5189
Scott Barry,3898,673,4571
D.J. Reyburn,4101,633,4734
Adrian Johnson,4259,685,4944
Angel Campos,2259,349,2608
Mike Everitt,4499,748,5247
Tony Randazzo,4185,686,4871
Alfonso Marquez,4524,721,5245
Chad Fairchild,3733,495,4228
Sam Holbrook,4563,707,5270
Wally Bell,4195,849,5044
Tim McClelland,4490,625,5115
Gary Darling,4870,809,5679
Ed Rapuano,1192,221,1413
Tim Tschida,3432,548,3980
Brian Runge,3537,645,4182
Derryl Cousins,4068,637,4705
